Date,Open,High,Low,Close,Volume,Adj Close
2013-08-01,3284.59,3314.96,3284.59,3311.57,000,3311.57
2013-07-31,3258.66,3282.42,3257.83,3260.70,000,3260.70
2013-07-30,3256.67,3259.65,3237.60,3240.76,000,3240.76
2013-07-29,3258.33,3264.31,3240.59,3246.07,000,3246.07
2013-07-26,3234.44,3266.67,3232.84,3266.45,000,3266.45
2013-07-25,3230.76,3254.18,3226.69,3252.81,000,3252.81
2013-07-24,3265.71,3269.01,3224.35,3230.90,000,3230.90
2013-07-23,3272.71,3276.45,3252.01,3255.49,000,3255.49
2013-07-22,3272.93,3272.97,3254.72,3265.68,000,3265.68
2013-07-19,3255.08,3262.28,3249.01,3257.54,000,3257.54
2013-07-18,3248.82,3269.35,3248.37,3259.94,000,3259.94
2013-07-17,3253.20,3255.69,3245.09,3253.95,000,3253.95
2013-07-16,3259.03,3260.54,3235.36,3243.34,000,3243.34
2013-07-15,3260.16,3262.95,3251.52,3256.10,000,3256.10
2013-07-12,3234.04,3258.26,3233.93,3258.25,000,3258.25
2013-07-11,3224.07,3238.23,3217.45,3237.27,000,3237.27
2013-07-10,3179.38,3189.63,3170.71,3188.27,000,3188.27
2013-07-09,3180.32,3185.18,3166.43,3179.07,000,3179.07
2013-07-08,3154.32,3166.09,3151.07,3161.52,000,3161.52
2013-07-05,3133.54,3138.40,3104.26,3138.37,000,3138.37
2013-07-03,3082.33,3111.87,3079.21,3104.43,000,3104.43
2013-07-02,3096.83,3115.93,3081.77,3096.94,000,3096.94
2013-07-01,3085.03,3112.84,3084.77,3100.33,000,3100.33
2013-06-28,3050.84,3084.52,3050.31,3069.00,000,3069.00
2013-06-27,3046.40,3068.95,3046.34,3061.65,000,3061.65
2013-06-26,3027.74,3037.43,3020.90,3030.75,000,3030.75
2013-06-25,3001.43,3014.63,2986.97,3006.30,000,3006.30
2013-06-24,2978.69,2998.47,2949.21,2977.42,000,2977.42
2013-06-21,3011.47,3020.46,2975.61,3004.33,000,3004.33
2013-06-20,3044.10,3046.38,2990.66,2998.18,000,2998.18
2013-06-19,3106.04,3115.35,3077.15,3077.15,000,3077.15
2013-06-18,3079.54,3111.91,3079.19,3105.38,000,3105.38
2013-06-17,3072.74,3091.71,3060.84,3075.74,000,3075.74
2013-06-14,3057.34,3069.19,3045.23,3048.98,000,3048.98
2013-06-13,3007.77,3066.22,3002.61,3060.34,000,3060.34
2013-06-12,3067.44,3067.91,3007.61,3012.49,000,3012.49
2013-06-11,3049.53,3071.90,3039.62,3047.76,000,3047.76
2013-06-10,3085.96,3095.56,3072.75,3086.97,000,3086.97
2013-06-07,3049.78,3083.68,3040.27,3079.59,000,3079.59
2013-06-06,3011.29,3034.52,2995.29,3034.51,000,3034.51
2013-06-05,3045.58,3049.16,3006.88,3011.40,000,3011.40
2013-06-04,3062.29,3079.43,3031.20,3052.94,000,3052.94
2013-06-03,3057.67,3063.57,3022.82,3063.04,000,3063.04
2013-05-31,3074.21,3094.72,3054.74,3054.80,000,3054.80
2013-05-30,3088.69,3105.16,3086.74,3087.26,000,3087.26
2013-05-29,3101.48,3102.62,3074.20,3083.57,000,3083.57
2013-05-28,3122.93,3139.64,3103.56,3117.79,000,3117.79
2013-05-24,3065.82,3088.76,3059.43,3088.49,000,3088.49
2013-05-23,3063.05,3092.77,3059.05,3089.18,000,3089.18
2013-05-22,3122.97,3148.53,3075.88,3091.92,000,3091.92
2013-05-21,3116.68,3134.94,3112.54,3125.93,000,3125.93
2013-05-20,3115.14,3126.92,3108.81,3114.00,000,3114.00
2013-05-17,3104.37,3120.19,3098.64,3119.73,000,3119.73
2013-05-16,3108.27,3116.97,3084.06,3088.05,000,3088.05
2013-05-15,3089.69,3114.21,3089.58,3112.51,000,3112.51
2013-05-14,3065.46,3097.80,3065.46,3095.69,000,3095.69
2013-05-13,3056.47,3067.46,3049.00,3062.50,000,3062.50
2013-05-10,3037.21,3062.17,3036.77,3062.17,000,3062.17
2013-05-09,3028.89,3047.55,3022.04,3033.69,000,3033.69
2013-05-08,3007.47,3021.07,3005.56,3021.02,000,3021.02
2013-05-07,2990.32,3007.40,2982.20,3007.23,000,3007.23
2013-05-06,2979.78,2987.99,2978.58,2984.85,000,2984.85
2013-05-03,2969.11,2991.12,2966.83,2982.28,000,2982.28
2013-05-02,2914.25,2942.96,2913.31,2940.67,000,2940.67
2013-05-01,2930.87,2935.33,2907.29,2909.66,000,2909.66
2013-04-30,2920.78,2934.36,2915.61,2934.36,000,2934.36
2013-04-29,2921.63,2931.07,2914.97,2922.21,000,2922.21
2013-04-26,2933.26,2934.33,2906.78,2915.72,000,2915.72
2013-04-25,2930.49,2949.93,2927.09,2939.78,000,2939.78
2013-04-24,2917.07,2922.66,2907.81,2915.73,000,2915.73
2013-04-23,2887.80,2909.42,2881.00,2908.76,000,2908.76
2013-04-22,2860.43,2875.96,2836.08,2871.39,000,2871.39
2013-04-19,2828.30,2859.64,2824.74,2855.81,000,2855.81
2013-04-18,2857.41,2858.27,2816.88,2826.07,000,2826.07
2013-04-17,2883.61,2884.44,2844.77,2858.74,000,2858.74
2013-04-16,2881.30,2905.61,2879.19,2904.77,000,2904.77
2013-04-15,2926.72,2931.82,2857.19,2861.52,000,2861.52
2013-04-12,2935.12,2945.20,2921.00,2944.75,000,2944.75
2013-04-11,2927.43,2950.27,2926.99,2941.03,000,2941.03
2013-04-10,2885.02,2923.03,2885.02,2920.92,000,2920.92
2013-04-09,2884.43,2891.94,2864.45,2880.85,000,2880.85
2013-04-08,2859.47,2880.85,2854.97,2880.82,000,2880.82
2013-04-05,2824.23,2855.84,2820.07,2854.06,000,2854.06
2013-04-04,2855.96,2869.19,2851.91,2868.85,000,2868.85
2013-04-03,2895.52,2898.91,2848.16,2856.61,000,2856.61
2013-04-02,2895.99,2908.67,2888.56,2895.81,000,2895.81
2013-04-01,2907.94,2913.13,2876.16,2883.69,000,2883.69
2013-03-28,2889.97,2905.84,2886.55,2902.96,000,2902.96
2013-03-27,2864.28,2890.03,2859.43,2888.99,000,2888.99
2013-03-26,2875.13,2882.38,2868.19,2882.07,000,2882.07
